name,street_address,postcode,city,url,business_type
Fleur de Sel,Oderberger Str. 13,10435,Berlin,https://helfen-shop.berlin/dein-unternehmen/fleur-de-sel/,restaurant
Heidi‘s Café,Spreeufer 4,10178,Berlin,https://helfen-shop.berlin/dein-unternehmen/heidis-cafe/,restaurant
Tigertörtchen,Chausseestraße 60,10115,Berlin,https://helfen-shop.berlin/dein-unternehmen/tigertoertchen/,restaurant
New Tam Tam,Belzigerstrße 25,10823,Berlin,https://helfen-shop.berlin/dein-unternehmen/new-tam-tam/,restaurant
BQL Store Berlin,Kastanienallee 75,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/bql-store-berlin/,restaurant
Cristall Collection Beleuchtung,Kaiserdamm 24,14057,Berlin,https://helfen-shop.berlin/dein-unternehmen/cristall-collection-beleuchtung/,restaurant
Café UMA – Ayurvedische und vegetarische Spezialitäten,Friedrich-Wilhelm-Platz 3,12161,Berlin,https://helfen-shop.berlin/dein-unternehmen/cafe-uma-ayurvedische-und-vegetarische-spezialitaeten/,restaurant
Crème de la Bücher Antiquariat,Mariannenstraße 50,10997,Berlin,https://helfen-shop.berlin/dein-unternehmen/creme-de-la-buecher-antiquariat/,restaurant
Tam Tam,Knesebeckstraße 59-61,10719,Berlin,https://helfen-shop.berlin/dein-unternehmen/tam-tam/,restaurant
BRÄUGIER Craftbier,Stubbenkammerstr. 6,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/braeugier-craftbier/,restaurant
Zur Gemütlichen Ecke,Medebacher Weg 9,13507,Berlin,https://helfen-shop.berlin/dein-unternehmen/zur-gemuetlichen-ecke/,restaurant
Bombay Express,Gerichtstr. 47,13347,Berlin,https://helfen-shop.berlin/dein-unternehmen/bombay-express/,restaurant
Kosmetik & Podologiepraxis Elke Ostermaier,Rheinsteinstrasse 9,10318,Berlin,https://helfen-shop.berlin/dein-unternehmen/kosmetik-podologiepraxis-elke-ostermaier/,restaurant
Volta Press,Alt-Moabit 103,10559,Berlin,https://helfen-shop.berlin/dein-unternehmen/volta-press/,restaurant
STILMONOPOL,Dolziger Str. 39,10247,Berlin,https://helfen-shop.berlin/dein-unternehmen/stilmonopol/,restaurant
ZIMMERTHEATER STEGLITZ,Bornstraße 17,12163,Berlin,https://helfen-shop.berlin/dein-unternehmen/zimmertheater-steglitz/,restaurant
TOFUTUSSIS,"Markthalle Neun, Eisenbahnstr. 42 – 43",10997,Berlin,https://helfen-shop.berlin/dein-unternehmen/tofutussis/,restaurant
OYA Massage im Rolling Tiger Projekt,Reichenberger Str. 61 a,10999,Berlin,https://helfen-shop.berlin/dein-unternehmen/oya-massage-im-rolling-tiger-projekt/,restaurant
Wo man sich Zuhause fühlt,Heinrich-Böll-Straße 2,13156,Berlin,https://helfen-shop.berlin/dein-unternehmen/wo-man-sich-zuhause-fuehlt/,restaurant
Pony & Clyde Friseure,Barbarossastraße 5a,10781,Berlin,https://helfen-shop.berlin/dein-unternehmen/pony-clyde-friseure/,restaurant
Biokosmetik-stoffers.de,Moltkestr.52,12203,Berlin,https://helfen-shop.berlin/dein-unternehmen/biokosmetik-stoffers-de/,restaurant
Sound Bath Berlin,Kopenhagener Str. 27,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/sound-bath-berlin/,restaurant
Casa Nostra,Schöneberger Str. 3,12163,Berlin,https://helfen-shop.berlin/dein-unternehmen/casa-nostra/,restaurant
Espressobar,Mommsenstrasse 4,10629,Berlin,https://helfen-shop.berlin/dein-unternehmen/espressobar/,restaurant
Kleine Schritte Kinderschuhe,Hufelandstrasse 24,10407,Berlin,https://helfen-shop.berlin/dein-unternehmen/kleine-schritte-kinderschuhe/,restaurant
Sense Healing,Kopenhagener Str. 27,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/sense-healing/,restaurant
Präventionsstudio FlowFitness,Fregestr. 11,12159,Berlin,https://helfen-shop.berlin/dein-unternehmen/praeventionsstudio-flowfitness/,restaurant
Isla Coffee,Hermannstraße 37,12049,Berlin,https://helfen-shop.berlin/dein-unternehmen/isla-coffee/,restaurant
Restaurant Bar Brass,Am Spreebord 9,10589,Berlin,https://helfen-shop.berlin/dein-unternehmen/restaurant-bar-brass/,restaurant
THE BARN,Auguststraße 58,10119,Berlin,https://helfen-shop.berlin/dein-unternehmen/the-barn/,restaurant
Cafe La Femme,Residenzstraße 129,13409,Berlin,https://helfen-shop.berlin/dein-unternehmen/cafe-la-femme/,restaurant
Indigo Pearl,Auguststr. 83,10117,Berlin,https://helfen-shop.berlin/dein-unternehmen/indigo-pearl/,restaurant
Linierie underwear store,Linienstraße 75,10119,Berlin,https://helfen-shop.berlin/dein-unternehmen/linierie-underwear-store/,restaurant
Das Hotel ( Hotel Bar ),Mariannenstrasse 26A,10999,Berlin,https://helfen-shop.berlin/dein-unternehmen/das-hotel-hotel-bar/,restaurant
Berlin Food Tour,Birkenstraße 22,10559,Berlin,https://helfen-shop.berlin/dein-unternehmen/berlin-food-tour/,restaurant
"COE Kneipe, Bar, Restaurant",Am Generalshof 3,12555,Berlin,https://helfen-shop.berlin/dein-unternehmen/coe-kneipe-bar-restaurant/,restaurant
MaGoKeramik,Scharnweberstraße 28,10247,Berlin,https://helfen-shop.berlin/dein-unternehmen/magokeramik/,restaurant
Kuback,Nürnbergerstraße 17,10789,Berlin,https://helfen-shop.berlin/dein-unternehmen/kuback/,restaurant
No51,Oranienplatz 15,10999,Berlin,https://helfen-shop.berlin/dein-unternehmen/no51/,restaurant
siebenSchön- unabhängige Dr.Juchheim-Beratung,Wilmersdorfer Straße 7,10585,Berlin,https://helfen-shop.berlin/dein-unternehmen/siebenschoen-unabhaengige-dr-juchheim-beratung/,restaurant
Bagel Coffe Culture,Mehringdamm 66,10961,Berlin,https://helfen-shop.berlin/dein-unternehmen/bagel-coffe-culture/,restaurant
Blume an der Hasenheide,Fontanestr. 32,12049,Berlin,https://helfen-shop.berlin/dein-unternehmen/blume-an-der-hasenheide/,restaurant
Restaurant Heidelbeere,Heidelberger Platz 1,14197,Berlin,https://helfen-shop.berlin/dein-unternehmen/restaurant-heidelbeere/,restaurant
GOLDONI Theaterschule,Laubacher Str. 30,14197,Berlin,https://helfen-shop.berlin/dein-unternehmen/goldoni-theaterschule/,restaurant
Mirage Bistrot,Reinickendorfer Str 110,13347,Berlin,https://helfen-shop.berlin/dein-unternehmen/mirage-bistrot/,restaurant
Insel Lindwerder,Havelchaussee 43,14193,Berlin,https://helfen-shop.berlin/dein-unternehmen/insel-lindwerder/,restaurant
Frauensache,Heinsestrasse 30,13467,Berlin,https://helfen-shop.berlin/dein-unternehmen/frauensache/,restaurant
BAR MOECHTEGERN,LEIBNIZSTR.87,10625,Berlin,https://helfen-shop.berlin/dein-unternehmen/bar-moechtegern/,restaurant
Papeterie Hermsdorf,Fellbacher Str. 29,13467,Berlin,https://helfen-shop.berlin/dein-unternehmen/papeterie-hermsdorf/,restaurant
Victoria met Albert – Prenzlauer Berg,Dunckerstraße 81,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/victoria-met-albert-prenzlauer-berg/,restaurant
Piadina mia,Albrechtstrasse 70,12167,Berlin,https://helfen-shop.berlin/dein-unternehmen/piadina-mia/,restaurant
Jugend im Museum e.V. – Werkstatt Hortensien,Hortensienstraße 29A,12203,Berlin,https://helfen-shop.berlin/dein-unternehmen/jugend-im-museum-e-v-werkstatt-hortensien/,restaurant
